学院,专业,学期,课程代码,课程名称,学分,课程性质,教材名称,主编,版次,出版社,ISBN,匹配状态
文法学院,法学,第4学期,311300007070,行政法与行政诉讼法,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,4,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300007077,知识产权法,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300007075,国际经济法,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300007071,商法,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300007073,经济法,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300008021,法律文书写作,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第5学期,311300001001,人工智能与法律,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,5,,通识课程,,选修类别,,,,,,待查教学大纲（专业课）
文法学院,法学,第6学期,311300007079,环境与资源保护法,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第6学期,306300007131,经济学原理,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第6学期,311300007080,农业法,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第6学期,311300008022,法律诊所,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第7学期,311300008018,教学实习,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第7学期,311300009004,模拟法庭,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3143009105,形势与政策（二）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,3113009928,毕业论文,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,314300001006,思想道德与法治3484261马院IdeologyMoralityandRuleofLaw,1,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,3143009003,中国近现代史纲要3484262马院OutlineofModernChineseHistory,2,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,314300001007,马克思主义基本原理3484263马院BasicKnowledgeofMarxism,3,必修,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,314300001008,BasicTheoryofMaoZedong3484084马院,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,314300001009,BasicTheoryofXiJinping3484084马院,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3143009104,形势与政策（一）116161-2马院SituationandPolicyEducation(Ⅰ),2,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
文法学院,法学,8,,体育类课程必修，实行选项制，一、二年级要求每学期修满1,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,8,,体育类课程教学详见《华中农业大学体育教学改革实施方案》。,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,法学,第8学期,307300007045,工程基础116162工学FoundationforEngineering,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,9093009904,军事理论本科232322MilitaryTheory生院,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,3113009824,写作与沟通116161/2文法WritingandCommunication,2,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,202300006005,本科PsychologicalDevelopmentand116161生院GuidanceofCollegeStudents,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,9093009774,本科InnovationandEntrepreneurship116162生院FoundationsforUndergraduates,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,310300001020,微积分D464641信息Calculus（D）,1,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,311300007188,统计学基础232322文法FundamentalsofStatistics,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300009006,ExperimentsontheFundamentals130302文法,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,317300001008,FundamentalsofArtificial232321信息,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,317300001009,ExperimentsontheFundamentals130301信息,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300001003,ArtificialIntelligenceand116163文法,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007144,社会学导论348481文法IntroductiontoSociology,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007146,网络传播概论232321文法IntroductiontoonlineCommunication,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007021,社会心理学232322文法SocialPsychology,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007145,法学概论348483文法IntroductiontoLaw,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007151,人工智能与艺术设计232323文法ArtificialIntelligenceandArtDesign,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007147,IntroductiontoClassical232323文法,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,306300007131,经济学原理348485经管PrinciplesofEconomics,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,314300006006,西方哲学导论232326马院IntroductiontoPhilosophy,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007192,社会研究方法46448162文法Socialresearchmethods,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007004,社会工作导论3484082文法IntroductiontoSocialWork,2,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007181,文化人类学概论348483文法IntroductiontoCultureAnthropology,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007180,社会统计学46448163文法SocialStatistics,3,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007015,西方社会学理论464644文法WesternSociologicalTheories,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007194,质性研究方法46448164文法QualitativeResearchMethods,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007195,中国社会学史348485文法HistoryofChineseSociology,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007190,量化研究方法46448165文法QuantitativeResearchMethods,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007191,农村社会学348486文法RuralSociology,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007189,发展社会学348486文法DevelopmentSociology,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009485,中国社会思想史348486文法HistoryofChineseSocialThought,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007020,西方社会思想史232326文法HistoryofWesternSocialThought,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009133,ContemporaryTheoriesandThoughts232326文法,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007202,IntermediateSocialStatisticsand232326文法,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009130,社会分层与社会流动232325文法SocialStratificationandSocialMobility,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009466,教育社会学232325文法SociologyofEducation,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009124,家庭社会学232325文法FamilySociology,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009977,环境社会学232325文法EnvironmentalSociology,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009154,科学社会学232326文法SociologyofScience,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007026,经济社会学232326文法EconomicSociology,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007027,城市社会学232326文法UrbanSociology,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007028,组织社会学232326文法SociologyofOrganization,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007196,城乡社会流动116166文法Rural-urbanSocialMobility,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009127,社会问题232325文法SocialProblems,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009156,政治社会学232326文法PoliticalSociology,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007022,社会保障概论232326文法SocialSecurityTheoryandPractice,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007124,社会福利思想232326文法ThoughtsofSocialWelfare,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007197,乡村社会建设116166文法RuralSocialConstruction,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007199,农村养老问题116166文法IssuesonRuralElderlyCare,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007200,农政研究116166文法ResearchonAgrarian,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007201,乡村治理专题116166文法TopiconRuralGovernance,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009467,人口社会学232326文法SociologyofPopulation,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009151,性别社会学232326文法SociologyofGender,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007198,农村婚姻与家庭116166文法RuralMarriageandFamily,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009978,医学人类学232325文法MedicalSociology,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009562,民俗文化鉴赏232326文法FolkCultureAppreciation,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009155,社会学经典原著选读（全英文）232327文法SelectedClassicReadingsinSociology,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300007142,CurrentHotIssuesand232327文法,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,9093009905,军事技能本科221MilitarySkills生院,1,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,法学,第8学期,9093009906,本科公共Innovationand11-7生院实践EntrepreneurshipPractice,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,202300008001,本科PracticeofMentalHealth1301生院PromotionforUndergraduates,1,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3143009105,SituationandPolicy1303-8马院,8,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,9093009903,社会实践114团委公共SocialPractice,4,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,110300008001,志愿服务1301-7团委VolunteerService,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,110300008002,美育实践11-7团委AestheticPractice,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300008001,PracticumforQualitative245文法,5,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300008031,PracticumforQuantitative246文法,6,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,311300008032,ComprehensivePracticumfor487文法,7,必修,,,,,,待查教学大纲（专业课）
文法学院,法学,第8学期,3113009924,毕业论文（设计）6127-8文法Thesis,8,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第1学期,314300001006,思想道德与法治,3,必修,思想道德与法治（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,3143009104,形势与政策（一）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,3113009824,写作与沟通,1,必修,写作与沟通,马工程/本校编,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,310300001020,微积分D,4,必修,高等数学（第七版·上/下册）,同济大学数学系,第7版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,317300001008,人工智能应用基础,2,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,317300001009,人工智能应用基础实验,1,必修,人工智能基础（通识）,大学计算机课程教指委,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,9093009905,军事技能,2,必修,军事训练教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,202300006005,大学生心理发展与指导,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,202300008001,大学生心理素质拓展,1,必修,大学生心理健康教育,郑日昌,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,第1学期,311300007144,社会学导论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第1学期,311300007146,网络传播概论,2,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,1,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,社会学,1,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,社会学,第2学期,3143009003,中国近现代史纲要,3,必修,中国近现代史纲要（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,社会学,第2学期,311300007188,统计学基础,2,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第2学期,311300009006,统计学基础实验,1,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第2学期,307300007045,工程基础,1,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第2学期,9093009904,军事理论,2,必修,军事理论课教程,教育部军委国防动员部,2023版,高等教育出版社,,公共课已匹配
文法学院,社会学,第2学期,9093009774,大学生创新创业基础,1,必修,大学生创新创业基础,本校编,最新版,高等教育出版社,,公共课已匹配
文法学院,社会学,2,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,社会学,2,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
文法学院,社会学,第2学期,311300007021,社会心理学,2,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第2学期,311300007192,社会研究方法,4,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第2学期,311300007004,社会工作导论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,314300001007,马克思主义基本原理,3,必修,马克思主义基本原理（2023年版）,本书编写组,2023年版,高等教育出版社,,公共课已匹配
文法学院,社会学,第3学期,311300007151,人工智能与艺术设计,2,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,311300007147,中国文学名篇导读,2,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,311300001003,人工智能与当代社会,1,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,311300007145,法学概论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,311300007181,文化人类学概论,3,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,311300007180,社会统计学,4,必修,,,,,,待查教学大纲（专业课）
文法学院,社会学,第3学期,3143009105,形势与政策（二）,1,必修,形势与政策（最新版）,教育部组编,每年更新,高等教育出版社,,公共课已匹配
文法学院,社会学,3,,外语类课程,,必修类别,新视野大学英语（第三版·读写教程）,郑树棠,第3版,外语教学与研究出版社,,公共课已匹配
文法学院,社会学,3,,体育类课程,,必修类别,大学体育（教材）,本校编,最新版,校本教材,,公共课已匹配
