专业,学制,学年,学期,课程名称,课程性质,教材名称,主编,版次,出版社,出版年,ISBN,数据状态,数据来源
动物医学,5年,大二,第4学期,兽医病理学,专业基础必修课,兽医病理学（第4版）,陈怀涛 主编,第4版,中国农业出版社,2018,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第4学期,兽医寄生虫学,专业基础必修课,兽医寄生虫学（第5版）,索勋 主编,第5版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第4学期,动物遗传学,专业基础必修课,动物遗传学（第4版）,李宁 主编,第4版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大二,第4学期,毛泽东思想和中国特色社会主义理论体系概论,思想政治必修课,毛泽东思想和中国特色社会主义理论体系概论（2023年版）,本书编写组,2023年版,高等教育出版社,2023,,待脚本补全ISBN,马工程教材
动物医学,5年,大三,第5学期,兽医临床诊断学,专业必修课,兽医临床诊断学（第4版）,邓干臻 主编,第4版,科学出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第5学期,动物传染病学,专业必修课,动物传染病学（第4版）,陈焕春 主编,第4版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第5学期,兽医寄生虫病学,专业必修课,兽医寄生虫病学（第4版）,张龙现 主编,第4版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第5学期,兽医公共卫生学,专业必修课,兽医公共卫生学（第3版）,陈杖榴 主编,第3版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第6学期,中兽医学,专业必修课,中兽医学（第4版）,刘钟杰 许剑琴,第4版,中国农业出版社,2021,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第6学期,兽医毒理学,专业必修课,兽医毒理学（第3版）,沈建忠 主编,第3版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大三,第6学期,兽医病理生理学,专业必修课,兽医病理生理学（第2版）,高丰 主编,第2版,科学出版社,2018,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第7学期,兽医内科学,专业必修课,兽医内科学（第3版）,郭定宗 主编,第3版,高等教育出版社,2018,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第7学期,兽医外科学,专业必修课,兽医外科学（第4版）,王洪斌 主编,第4版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第7学期,兽医外科手术学,专业必修课,兽医外科手术学（第4版）,王洪斌 主编,第4版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第8学期,兽医产科学,专业必修课,兽医产科学（第4版）,赵兴绪 主编,第4版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第8学期,小动物疾病学,专业必修课,小动物疾病学（第2版）,林德贵 主编,第2版,中国农业大学出版社,2018,,待脚本补全ISBN,教学大纲
动物医学,5年,大四,第8学期,兽医流行病学,专业必修课,兽医流行病学（第3版）,王幼明 主编,第3版,中国农业出版社,2020,,待脚本补全ISBN,教学大纲
动物医学,5年,大五,第9学期,兽医临床诊疗技术（实习）,临床实习课,兽医临床诊疗技术（第2版）,邓干臻 主编,第2版,科学出版社,2017,,待脚本补全ISBN,教学大纲
动物医学,5年,大五,第9学期,猪病学/禽病学,专业方向选修课,猪病学（第3版）;禽病学（第2版）,杨汉春;苏敬良,第3版;第2版,中国农业出版社,2019-2021,待脚本补全,教学大纲,
动物医学,5年,大五,第10学期,临床实习与毕业论文,实践环节,（实习手册/无固定教材）,,,.,无,无正式教材,无,
动物医学,5年,选修,通识选修,宠物药品的创制,创新创业通识选修,（无教材，参考《药剂学》）,郝智慧,2018版,中国农业出版社,2018,,无正式教材,教学大纲
动物医学,5年,选修,通识选修,基因编辑与动物克隆技术,创新创业通识选修,哺乳动物生殖工程学,李光鹏 张立,第1版,科学出版社,2018,,待脚本补全ISBN,教学大纲
动物医学,5年,选修,通识选修,禽类性别鉴定分子方法及其应用,创新创业通识选修,家禽生产学（第2版）,杨宁 主编,第2版,中国农业出版社,2017,,待脚本补全ISBN,教学大纲
动物医学,5年,选修,通识选修,常见动物中毒毒物分析与检验技术,创新创业通识选修,毒剂毒物分析与检测技术,黄启斌 等,2022版,化学工业出版社,2022,,待脚本补全ISBN,教学大纲
动物医学,5年,选修,专业选修,兽医法规与职业道德,专业选修,兽医行政法规与执法实务（第2版）,陈伟生 主编,第2版,中国农业出版社,2018,,待脚本补全ISBN,教学大纲
动物科学,4年,大一,第1学期,动物解剖学,专业基础必修课,动物解剖学（第4版）,彭克美,第4版,高等教育出版社,2024,9787040613728,已核验,高教社官网
动物科学,4年,大一,第2学期,动物组织学与胚胎学,专业基础必修课,动物组织学及胚胎学（第4版）,彭克美,第4版,高等教育出版社,2021,,待脚本补全ISBN,教学大纲
动物科学,4年,大二,第3学期,动物遗传学,专业基础必修课,动物遗传学（第4版）,李宁 主编,第4版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物科学,4年,大二,第4学期,动物营养学,专业必修课,动物营养学（第4版）,周安国 主编,第4版,中国农业出版社,2021,,待脚本补全ISBN,教学大纲
动物科学,4年,大二,第4学期,动物繁殖学,专业必修课,动物繁殖学（第5版）,张忠诚 主编,第5版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物科学,4年,大三,第5学期,饲料学,专业必修课,饲料学（第3版）,王成章 主编,第3版,中国农业出版社,2019,,待脚本补全ISBN,教学大纲
动物科学,4年,大三,第5学期,动物生产学（猪禽牛）,专业必修课,猪生产学（第2版）;家禽生产学（第2版）;牛生产学（第2版）,杨公社;杨宁;昝林森,第2版,中国农业出版社,2017-2018,待脚本补全,教学大纲,
动物科学,4年,大三,第6学期,畜牧微生物学,专业必修课,畜牧微生物学（第6版）,陈金顶 黄青云,第6版,中国农业出版社,2017,,待脚本补全ISBN,教学大纲
公共课,4年,大一,第1学期,大学计算机基础,公共必修课,大学计算机（第5版）,高等教育出版社,第5版,高等教育出版社,2019,,待脚本补全ISBN,公共课
公共课,4年,大一,第2学期,大学物理,公共必修课,物理学（第7版）,马文蔚 主编,第7版,高等教育出版社,2020,,待脚本补全ISBN,公共课
公共课,4年,大一,第1学期,形势与政策,思想政治必修课,形势与政策（2025年版）,教育部社政司,2025年版,高等教育出版社,2025,,待脚本补全ISBN,马工程教材
公共课,4年,大二,第3学期,习近平新时代中国特色社会主义思想概论,思想政治必修课,习近平新时代中国特色社会主义思想概论（2023年版）,本书编写组,2023年版,高等教育出版社,2023,,待脚本补全ISBN,马工程教材
